player_id,nome,eta,genere,paese,città,mestiere,istruzione,soddisfazione,classe_personaggio,livello,salute_media,attacco_medio,destrezza,oggetti_usati,numero_battaglie,numero_vittorie,numero_sconfitte,tempo_totale_giocato,crediti_attuali,spesa_mensile,numero_acquisti,tipo_acquisti,abbonamento_attivo,rimborso_totale,giorni_attivi,sessioni_giornaliere_medie,durata_media_sessione,ora_punta_login,giorno_settimana_attivo,pausa_media_tra_sessioni,tipo_dispositivo,versione_app,numero_crash,latency_media,bug_rilevati,cluster_comportamentale,canale_acquisizione,campagne_risposta,profilo_social_integrato
14,Joyce,34.0,F,French Southern Territories,East Calvin,Secretary/administrator,Scuola Media,1,Guerriero,69,23.0,45.0,4,"Medaglione,Medaglione,Spada",30,63,370,14978,2428.0,5.0,29,"Spada,Spada,Spada",1,727,150,1.1,160,13,Ven,57.9,Tablet,1.1,1,109,0,Casual,Pubblicità,8,0
15,Stephen,57.0,F,Netherlands,East Shawn,Contracting civil engineer,,3,Guerriero,84,25.0,44.0,15,"Spada,Medaglione",157,354,438,10010,,10.0,40,Spada,1,294,256,2.7,179,12,Ven,64.4,PC,2.0,8,244,4,Hardcore,Organic,4,0
16,Yvonne,68.0,F,Ghana,Griffithfurt,Architect,Università,5,Mago,30,66.0,41.0,7,Bomba,204,279,339,107,2903.0,11.0,41,"Spada,Pozione",1,725,110,3.7,104,8,Gio,65.1,Mobile,1.0,4,216,6,Spender,Organic,16,0
17,April,26.0,F,Eritrea,Christopherbury,"Presenter, broadcasting",Superiore,8,Mago,4,96.0,31.0,6,"Medaglione,Spada,Pozione",203,175,83,4896,2095.0,7.0,1,"Spada,Medaglione,Bomba",0,673,186,0.9,73,10,Sab,35.4,PC,1.2,8,17,9,Casual,Organic,9,1
18,Jared,20.0,F,Mali,Port Adam,"Therapist, occupational",Scuola Media,2,Mago,70,74.0,12.0,16,"Scudo,Medaglione,Pozione",221,482,37,14954,4613.0,3.0,88,Bomba,1,702,254,5.0,10,15,Ven,29.0,PC,1.0,7,78,2,Casual,Pubblicità,5,0
19,Catherine,33.0,M,Tunisia,East Kathytown,Nutritional therapist,Superiore,5,Ladro,90,99.0,16.0,20,"Spada,Bomba",431,183,249,5630,311.0,6.0,71,"Pozione,Bomba,Scudo",1,964,323,2.6,105,9,Ven,44.8,Tablet,2.0,0,254,4,Spender,Referral,15,0
20,Jennifer,21.0,F,Spain,Michelleland,Commissioning editor,Università,7,Guerriero,91,98.0,50.0,10,"Pozione,Spada",287,61,51,4466,4173.0,11.0,21,"Spada,Bomba,Spada",1,277,9,0.8,54,17,Mar,31.6,Mobile,1.2,4,36,6,Casual,Pubblicità,6,1
21,Robert,39.0,F,Poland,Christopherton,Theatre stage manager,Università,10,Mago,88,52.0,42.0,12,Bomba,320,428,107,6474,2701.0,26.0,18,"Medaglione,Bomba,Medaglione",1,367,20,1.5,30,9,Mer,53.9,Mobile,1.1,1,121,8,Casual,Organic,19,0
22,Jamie,46.0,F,New Caledonia,Haileyberg,Outdoor activities/education manager,Superiore,5,Guerriero,61,68.0,31.0,20,"Bomba,Spada,Medaglione",341,305,72,8987,2534.0,17.0,23,"Medaglione,Scudo",1,254,71,4.1,14,19,Lun,14.7,Mobile,1.2,6,118,8,Hardcore,Organic,0,1
23,Justin,46.0,F,Rwanda,New Kayla,Land/geomatics surveyor,Scuola Media,3,Mago,12,83.0,47.0,1,"Medaglione,Medaglione",365,488,214,438,1747.0,2.0,67,Spada,0,198,92,1.2,123,2,Ven,41.2,Mobile,2.0,9,85,2,Casual,Pubblicità,2,1
24,Kimberly,35.0,M,Marshall Islands,West Dawn,Graphic designer,Università,8,Guerriero,71,94.0,21.0,15,"Scudo,Medaglione",18,400,287,6721,2117.0,10.0,21,"Scudo,Medaglione",0,114,250,1.8,170,12,Sab,20.9,Tablet,1.1,4,297,7,Casual,Organic,8,1
25,Veronica,19.0,M,Dominica,Jamesborough,Barrister's clerk,Superiore,9,Guerriero,89,69.0,45.0,9,"Scudo,Pozione",153,374,253,9248,3045.0,2.0,23,Medaglione,1,611,41,0.9,128,8,Mar,28.6,PC,1.0,8,14,8,Casual,Referral,6,0
26,Roger,51.0,,Switzerland,West Autumn,Sports administrator,Università,2,Mago,34,70.0,38.0,3,Bomba,246,63,305,12011,2513.0,8.0,45,Pozione,1,543,98,1.6,116,12,Sab,43.6,Mobile,1.2,2,252,5,Casual,Organic,11,0
27,Tim,59.0,F,Sao Tome and Principe,East Karen,Haematologist,Università,2,Guerriero,60,21.0,36.0,6,"Bomba,Scudo,Spada",333,71,183,10459,1550.0,10.0,7,Medaglione,0,837,46,2.9,148,1,Mer,49.6,Mobile,1.1,1,152,9,Hardcore,Pubblicità,12,0
28,Oscar,17.0,M,France,Rachelborough,Cabin crew,Università,7,Mago,34,56.0,17.0,3,Scudo,129,15,333,9273,3118.0,9.0,84,"Medaglione,Pozione",0,20,286,0.6,175,10,Mer,17.3,Mobile,1.1,6,224,9,Casual,Referral,15,1
29,Scott,53.0,M,China,Erikberg,Administrator,Scuola Media,7,Guerriero,36,53.0,7.0,8,Medaglione,332,274,349,33,117.0,0.0,69,"Pozione,Scudo,Scudo",1,94,53,1.0,52,12,Mer,25.1,Mobile,2.0,5,51,9,Casual,Organic,1,1
30,Hector,16.0,F,Swaziland,West Johntown,Landscape architect,Scuola Media,9,Guerriero,88,87.0,5.0,16,"Bomba,Pozione",169,472,261,17160,2408.0,7.0,64,"Scudo,Spada",0,781,31,2.6,138,7,Ven,8.6,PC,2.0,6,81,7,Casual,Pubblicità,13,0
31,William,23.0,M,Pitcairn Islands,Lake Michaelfurt,Leisure centre manager,Università,4,Guerriero,7,20.0,21.0,11,"Bomba,Scudo,Medaglione",16,467,483,15469,3244.0,6.0,27,"Scudo,Spada",1,715,148,0.6,5,9,Ven,64.8,Tablet,1.2,4,82,1,Hardcore,Organic,13,1
32,Timothy,24.0,F,Ukraine,Lake Jason,"Education officer, environmental",Superiore,1,Guerriero,53,42.0,7.0,5,Pozione,381,318,490,3816,3287.0,46.0,0,"Spada,Pozione",0,874,24,3.1,15,13,Mar,50.2,PC,1.2,6,180,4,Casual,Organic,9,0
33,Kimberly,32.0,F,Sri Lanka,East Toddland,Environmental health practitioner,Superiore,5,Guerriero,92,81.0,15.0,3,"Pozione,Spada,Medaglione",430,307,13,16870,1638.0,29.0,60,Medaglione,1,420,70,2.9,127,11,Mer,4.2,PC,1.0,1,187,5,Hardcore,Organic,1,0
34,Mark,68.0,M,Mauritius,Jamesport,Trading standards officer,Superiore,5,Ladro,37,71.0,,14,Medaglione,499,366,483,12305,4139.0,55.0,69,"Medaglione,Bomba",0,937,355,4.0,85,16,Mer,27.2,Mobile,1.1,9,218,9,Casual,Pubblicità,1,0
35,Craig,65.0,M,Congo,East Lydia,"Restaurant manager, fast food",Superiore,6,Ladro,95,74.0,37.0,8,"Pozione,Bomba",293,125,137,14765,3296.0,4.0,19,"Bomba,Pozione",0,140,273,2.4,153,11,Mar,4.4,PC,1.1,4,116,4,Spender,Organic,7,0
36,Martin,19.0,M,Uganda,Chavezhaven,Logistics and distribution manager,Università,1,Mago,12,35.0,18.0,11,"Scudo,Bomba,Spada",353,0,220,3460,1265.0,35.0,61,Bomba,1,200,147,1.9,19,14,Ven,26.8,PC,1.1,1,124,4,Hardcore,Pubblicità,15,0
37,Dawn,51.0,F,Trinidad and Tobago,Martinezport,"Geologist, wellsite",Superiore,8,Ladro,43,34.0,23.0,4,"Pozione,Pozione",275,201,184,3013,4913.0,5.0,20,"Bomba,Spada,Scudo",0,485,263,1.6,165,16,Gio,22.7,PC,1.2,0,17,5,Casual,Pubblicità,2,1
38,Billy,39.0,F,Antigua and Barbuda,Stoutburgh,Research scientist (physical sciences),Scuola Media,3,Mago,25,58.0,,9,"Pozione,Pozione",58,230,64,9824,2873.0,4.0,39,"Scudo,Medaglione",1,758,342,2.3,155,13,Mar,10.5,PC,1.0,1,139,7,Casual,Organic,14,0
39,Angela,13.0,F,Latvia,Matthewburgh,Interior and spatial designer,Università,8,Guerriero,29,25.0,15.0,6,"Medaglione,Spada,Bomba",95,221,327,1469,2355.0,5.0,26,"Scudo,Scudo,Bomba",0,992,298,4.4,16,12,Gio,57.5,Mobile,1.1,6,168,4,Hardcore,Referral,18,0
40,Heather,25.0,F,Ecuador,Kellyville,Trade union research officer,Superiore,7,Guerriero,89,69.0,14.0,11,"Bomba,Bomba,Bomba",1,449,155,8681,169.0,3.0,30,"Pozione,Scudo",1,190,70,1.1,157,15,Dom,43.9,PC,1.0,0,164,9,Casual,Organic,6,0
41,Kristina,58.0,M,Pakistan,Lake Yeseniastad,"Surveyor, hydrographic",Superiore,7,Ladro,60,23.0,23.0,16,"Bomba,Bomba",148,420,162,7397,3974.0,7.0,39,"Spada,Spada",0,563,271,1.4,61,10,Lun,19.7,PC,1.0,5,43,4,Casual,Pubblicità,5,0
42,Danielle,56.0,M,Dominican Republic,Lake Crystalton,Exercise physiologist,Post-Laurea,10,Guerriero,58,62.0,38.0,12,"Pozione,Pozione,Spada",367,436,256,2292,,19.0,96,"Medaglione,Spada,Medaglione",1,527,141,4.6,70,9,Gio,62.7,PC,2.0,9,198,9,Hardcore,Pubblicità,8,0
43,Juan,51.0,F,Lithuania,Lake Angela,"Teacher, special educational needs",Superiore,6,Ladro,98,84.0,27.0,20,"Spada,Pozione",234,62,315,2576,2021.0,11.0,32,"Spada,Scudo",0,673,255,0.5,58,1,Mer,58.7,PC,1.0,4,95,1,Casual,Pubblicità,6,0
44,Michael,14.0,F,Montserrat,East Jefferyborough,Commercial art gallery manager,Scuola Media,8,Mago,24,59.0,23.0,16,Medaglione,93,356,379,1252,47.0,2.0,94,"Scudo,Bomba,Pozione",0,61,86,0.6,72,6,Mer,3.8,PC,1.2,8,164,2,Hardcore,Organic,11,0
45,Timothy,16.0,F,British Virgin Islands,Port Christopher,Chartered public finance accountant,Università,6,Guerriero,63,93.0,39.0,10,Pozione,214,482,198,2901,2427.0,10.0,84,"Spada,Spada",0,269,272,4.0,157,16,Ven,23.2,Mobile,1.2,0,107,3,Casual,Pubblicità,6,0
46,Charles,28.0,F,Seychelles,Amandaborough,Astronomer,Post-Laurea,6,Mago,33,66.0,42.0,16,"Pozione,Medaglione,Bomba",72,403,332,9582,1463.0,20.0,96,"Spada,Spada",1,901,205,2.4,75,9,Sab,6.9,PC,1.1,8,224,4,Casual,Organic,12,0
47,Juan,27.0,F,United Kingdom,Doylemouth,Games developer,Università,3,Mago,85,68.0,5.0,4,Pozione,441,411,426,18275,1922.0,9.0,61,Scudo,0,645,15,4.1,33,5,Ven,50.5,PC,1.2,7,282,3,Hardcore,Pubblicità,11,0
48,Jennifer,34.0,F,Heard Island and McDonald Islands,New Samuel,Tour manager,Superiore,2,Mago,89,69.0,39.0,8,"Spada,Scudo,Bomba",448,203,129,18953,466.0,0.0,58,"Spada,Medaglione,Bomba",0,962,301,1.5,173,15,Dom,27.5,Mobile,1.2,4,117,7,Spender,Pubblicità,19,0
49,Ryan,40.0,F,Malaysia,Knappfurt,Warehouse manager,Superiore,4,Guerriero,92,60.0,8.0,17,Pozione,284,380,316,4490,961.0,5.0,12,"Pozione,Scudo,Bomba",0,13,177,4.6,24,9,Mer,64.3,Mobile,1.0,6,42,6,Hardcore,Organic,6,1
50,Donna,,F,United States of America,Scottberg,Medical physicist,Università,4,Mago,8,33.0,22.0,9,Spada,45,18,263,4724,5.0,2.0,24,"Pozione,Pozione,Medaglione",0,981,278,3.2,74,0,Mer,64.6,Tablet,1.2,7,74,6,Spender,Referral,14,1
51,Steven,,F,Seychelles,Lake Marcstad,"Programmer, applications",Università,4,Mago,68,42.0,34.0,12,Spada,482,194,267,3827,1536.0,5.0,70,"Medaglione,Bomba,Pozione",0,978,128,0.8,121,9,Mar,38.3,PC,2.0,7,92,7,Hardcore,Referral,17,0
52,Jessica,66.0,M,Russian Federation,New Ashleyfort,Toxicologist,Superiore,2,Guerriero,78,50.0,47.0,12,"Pozione,Pozione,Bomba",126,494,28,17436,208.0,20.0,29,"Bomba,Pozione",0,222,40,2.3,81,11,Lun,29.9,PC,1.0,8,236,7,Hardcore,Referral,6,0
53,Samantha,53.0,F,Ghana,Lake Karenmouth,Translator,Superiore,9,Mago,8,51.0,44.0,13,"Spada,Spada",38,216,165,6836,4531.0,4.0,17,Bomba,1,864,290,3.9,121,10,Gio,19.2,PC,1.2,5,244,7,Spender,Pubblicità,2,0
54,Carolyn,64.0,F,Gabon,Davidberg,Production engineer,Superiore,10,Mago,36,25.0,30.0,14,"Spada,Pozione,Medaglione",378,337,320,8335,1248.0,5.0,31,"Bomba,Pozione,Pozione",0,416,4,1.2,65,12,Ven,25.7,Mobile,1.1,1,197,2,Hardcore,Organic,2,1
55,David,38.0,F,Cuba,Doughertyview,Pharmacologist,Università,2,Guerriero,27,73.0,13.0,12,"Pozione,Bomba",289,116,319,16734,4229.0,14.0,7,"Scudo,Scudo,Scudo",0,394,66,0.7,33,12,Sab,26.0,PC,1.1,6,287,6,Hardcore,Pubblicità,7,0
56,Edward,45.0,M,Bermuda,Johnsonport,"Scientist, water quality",Scuola Media,1,Ladro,54,79.0,17.0,15,Scudo,288,15,356,17841,1868.0,15.0,63,Pozione,0,912,10,3.7,106,7,Gio,35.0,Mobile,2.0,5,113,8,Casual,Pubblicità,1,1
57,Brian,23.0,,Montserrat,Nicholasfurt,Control and instrumentation engineer,Scuola Media,9,Mago,92,71.0,24.0,5,"Scudo,Pozione",78,286,106,987,1506.0,5.0,70,"Pozione,Spada,Spada",1,365,95,3.7,75,16,Mer,51.1,PC,1.2,9,159,5,Hardcore,Pubblicità,0,0
58,William,22.0,F,Christmas Island,South Karenbury,"Designer, blown glass/stained glass",Superiore,2,Guerriero,42,78.0,40.0,13,Bomba,180,301,158,6492,2945.0,1.0,97,Spada,0,561,158,4.7,69,15,Lun,35.0,Mobile,1.2,6,56,6,Casual,Referral,13,0
59,Amanda,20.0,F,Belarus,New Lisachester,Commercial art gallery manager,Superiore,10,Guerriero,20,60.0,15.0,14,"Bomba,Spada",307,218,61,9247,2416.0,3.0,51,Bomba,0,455,300,2.8,161,10,Ven,24.9,Mobile,1.1,6,74,5,Casual,Referral,0,0
60,Victoria,39.0,M,American Samoa,North Rick,Trading standards officer,Università,3,Ladro,14,87.0,,17,"Spada,Medaglione",427,171,369,7176,225.0,15.0,54,"Spada,Spada",0,189,197,2.3,98,8,Lun,35.8,PC,1.0,7,135,9,Casual,Pubblicità,9,1
61,Jeremy,52.0,F,Antigua and Barbuda,New Stephanieburgh,Commissioning editor,Superiore,5,Guerriero,48,52.0,33.0,13,Scudo,374,220,298,19541,4424.0,3.0,11,Spada,1,467,236,3.4,170,0,Dom,56.9,PC,1.0,5,144,5,Casual,Pubblicità,13,1
62,Amber,67.0,,Sri Lanka,Lake Claireton,"Scientist, research (maths)",Superiore,8,Mago,34,,14.0,12,"Spada,Medaglione",358,36,463,7044,507.0,5.0,37,"Bomba,Spada",0,145,55,2.3,93,13,Lun,70.9,Mobile,2.0,9,137,1,Casual,Pubblicità,8,0
63,David,44.0,M,Montserrat,Lake Ericatown,Naval architect,Scuola Media,10,Guerriero,62,58.0,32.0,3,"Bomba,Pozione,Spada",95,477,325,5176,,2.0,67,Medaglione,0,966,139,3.3,41,2,Lun,68.8,Mobile,1.0,9,21,5,Casual,Pubblicità,9,0
64,Todd,63.0,M,Niger,New Joshuaberg,"Therapist, art",Università,9,Guerriero,57,63.0,15.0,10,"Pozione,Bomba,Medaglione",281,397,13,19996,398.0,5.0,87,"Medaglione,Pozione",0,897,34,2.4,6,15,Mar,37.0,PC,1.2,1,235,8,Casual,Pubblicità,16,0
65,James,16.0,F,Slovakia (Slovak Republic),East Juan,Commercial horticulturist,Superiore,9,Ladro,41,54.0,9.0,14,Medaglione,21,43,142,11773,562.0,3.0,13,Medaglione,0,152,173,4.5,157,9,Mer,63.4,PC,1.1,9,204,5,Casual,Referral,5,0
66,Charles,48.0,M,Central African Republic,Lake Michaelborough,Technical sales engineer,Università,10,Ladro,86,77.0,25.0,11,"Medaglione,Bomba",17,60,387,7765,3434.0,73.0,55,Medaglione,0,336,8,2.9,44,9,Lun,29.9,PC,1.1,3,178,0,Hardcore,Pubblicità,9,0
67,Susan,38.0,F,Azerbaijan,New Robert,Trading standards officer,Superiore,7,Ladro,4,71.0,33.0,20,Spada,404,257,377,7346,2430.0,8.0,93,"Bomba,Pozione,Scudo",1,992,165,2.5,55,11,Ven,30.8,Mobile,1.0,9,33,2,Hardcore,Referral,1,1
68,Steven,37.0,F,Aruba,New Robertport,Sales promotion account executive,Scuola Media,9,Guerriero,51,49.0,,4,"Scudo,Bomba,Pozione",101,126,29,11040,1304.0,8.0,26,"Spada,Bomba",1,574,359,0.8,55,10,Mer,34.2,Tablet,1.2,3,103,7,Casual,Referral,6,0
69,Tricia,26.0,M,Sudan,Sarachester,Multimedia specialist,Scuola Media,3,Mago,34,43.0,10.0,1,"Medaglione,Scudo,Spada",177,68,101,18440,,106.0,28,"Spada,Bomba",0,5,209,3.0,179,8,Mar,6.8,Mobile,1.0,8,151,7,Casual,Pubblicità,19,0
70,Teresa,69.0,F,Mongolia,East Stephenberg,English as a foreign language teacher,Superiore,8,Mago,25,75.0,40.0,4,Pozione,381,159,80,3194,1772.0,,89,"Spada,Bomba,Bomba",1,474,337,2.4,175,12,Gio,46.7,Mobile,2.0,6,294,2,Hardcore,Pubblicità,12,0
71,Michelle,43.0,M,Armenia,West Jeffrey,Seismic interpreter,Superiore,2,Ladro,50,27.0,39.0,18,"Pozione,Spada",186,32,478,7036,2616.0,21.0,98,Scudo,0,143,359,2.0,53,14,Mer,16.2,Mobile,1.0,4,134,4,Hardcore,Pubblicità,0,1
72,Shannon,61.0,F,Reunion,Brendaside,"Biochemist, clinical",Superiore,6,Ladro,53,78.0,40.0,4,"Medaglione,Bomba,Pozione",75,79,190,11928,3740.0,2.0,85,"Scudo,Pozione,Medaglione",0,103,229,1.8,165,11,Ven,66.0,Mobile,1.1,8,286,7,Hardcore,Organic,5,0
73,Mary,57.0,M,Zambia,Lynchfurt,Jewellery designer,Università,5,Guerriero,5,58.0,43.0,12,"Pozione,Pozione",272,352,339,5676,225.0,2.0,0,"Spada,Scudo",0,369,41,2.7,139,13,Mer,61.5,Mobile,1.1,9,275,8,Casual,Referral,16,0
74,Lisa,41.0,M,Belgium,North Wayne,Records manager,Post-Laurea,7,Guerriero,84,,45.0,13,Scudo,32,137,285,14528,4548.0,2.0,9,"Scudo,Medaglione,Spada",0,150,361,2.6,167,15,Gio,54.1,Mobile,1.1,4,227,3,Casual,Organic,2,1
75,Benjamin,,,Slovenia,Joshuaville,Customer service manager,Università,1,Ladro,27,57.0,5.0,7,Medaglione,490,223,269,19941,4884.0,0.0,13,"Spada,Scudo,Scudo",1,137,250,2.4,24,18,Mer,7.5,PC,1.0,0,172,1,Hardcore,Organic,12,0
76,Richard,31.0,F,Germany,Shelleyview,Television camera operator,Scuola Media,3,Guerriero,36,69.0,12.0,8,"Spada,Scudo,Scudo",465,0,253,7905,4139.0,1.0,98,Spada,0,930,362,1.6,22,15,Dom,61.6,PC,1.2,3,166,3,Casual,Pubblicità,9,0
77,Joseph,43.0,F,Kazakhstan,East John,Agricultural engineer,Scuola Media,5,Ladro,96,30.0,35.0,13,Spada,180,96,178,18683,2368.0,2.0,13,Scudo,1,615,320,2.9,147,10,Gio,32.0,Mobile,1.0,6,116,2,Casual,Pubblicità,12,0
78,Anthony,56.0,F,Cayman Islands,West Jesse,Holiday representative,Superiore,5,Ladro,34,47.0,50.0,5,"Pozione,Bomba",239,316,196,17893,4426.0,4.0,94,"Pozione,Bomba,Spada",1,503,296,3.0,165,2,Mer,21.7,Mobile,1.2,3,212,6,Casual,Organic,19,1
79,Cameron,16.0,M,Korea,Taylormouth,"Journalist, magazine",Università,10,Mago,83,71.0,17.0,5,"Scudo,Scudo",490,500,153,4065,3216.0,22.0,85,"Medaglione,Medaglione,Spada",0,718,217,0.5,32,12,Ven,35.9,Mobile,2.0,2,250,4,Casual,Organic,7,0
80,Olivia,30.0,M,Afghanistan,New Ericview,"Radiographer, diagnostic",Università,1,Mago,44,54.0,18.0,19,"Medaglione,Bomba",133,17,157,3323,4716.0,4.0,59,"Spada,Spada",0,950,106,3.1,60,9,Mar,68.4,PC,1.0,2,162,8,Spender,Referral,1,0
81,Garrett,,F,Lao People's Democratic Republic,Ortizshire,"Geologist, wellsite",Superiore,6,Ladro,87,87.0,15.0,8,Medaglione,490,259,370,5607,2587.0,8.0,27,Bomba,0,11,225,4.2,51,10,Dom,44.3,PC,2.0,8,218,2,Casual,Referral,15,1
82,Andrew,22.0,F,Suriname,Glennfort,Quantity surveyor,,10,Guerriero,68,64.0,16.0,2,Spada,365,404,39,2161,3341.0,2.0,37,"Pozione,Pozione,Medaglione",1,746,73,1.8,165,9,Lun,67.5,Mobile,1.0,6,198,4,Spender,Pubblicità,1,1
83,Kayla,48.0,M,Qatar,East Georgeborough,Broadcast journalist,Università,5,Mago,99,60.0,15.0,14,"Spada,Scudo",139,133,67,16607,4991.0,45.0,63,"Bomba,Medaglione,Medaglione",0,716,93,1.5,60,13,Dom,3.2,Mobile,1.1,4,285,9,Casual,Pubblicità,13,1
84,Jeff,68.0,F,Saint Lucia,East Alfred,"Pharmacist, hospital",Università,8,,6,45.0,43.0,1,"Spada,Scudo,Scudo",120,43,150,6182,2520.0,1.0,26,Pozione,0,597,363,1.9,7,9,Sab,20.9,Mobile,1.2,9,101,1,Hardcore,Pubblicità,1,0
85,Jonathan,53.0,F,Austria,West Rebeccaside,Advertising account planner,Superiore,7,Guerriero,65,70.0,13.0,5,Spada,171,392,298,4691,4666.0,1.0,41,"Spada,Medaglione",0,649,361,2.9,114,5,Sab,35.8,PC,1.0,3,179,4,Hardcore,Pubblicità,13,1
86,Sean,55.0,M,Swaziland,New Karenhaven,Child psychotherapist,Superiore,4,Mago,18,,,18,"Pozione,Spada",484,207,359,4587,1647.0,3.0,15,"Medaglione,Spada,Scudo",0,121,162,4.6,127,3,Dom,58.2,Mobile,1.2,2,15,2,Casual,Pubblicità,14,0
87,Stephanie,41.0,F,Switzerland,Lake Michaelchester,Geophysicist/field seismologist,Università,5,Guerriero,44,74.0,28.0,4,"Spada,Scudo",387,121,352,1143,108.0,11.0,82,"Medaglione,Scudo,Medaglione",0,154,236,1.9,53,10,Sab,13.2,Mobile,1.1,0,99,1,Casual,Pubblicità,2,1
88,Sherri,49.0,M,Guatemala,Tracishire,Landscape architect,Superiore,10,Guerriero,37,70.0,39.0,4,"Scudo,Spada,Scudo",107,329,115,19858,7.0,18.0,48,"Scudo,Bomba,Medaglione",1,91,198,0.9,49,3,Lun,61.4,PC,1.1,3,211,6,Casual,Pubblicità,6,1
89,Sandra,31.0,F,Iceland,Lake Colton,Patent examiner,Superiore,5,Guerriero,20,92.0,25.0,18,"Medaglione,Scudo",311,474,232,3054,2423.0,5.0,8,Medaglione,0,180,231,2.6,15,7,Ven,15.8,Mobile,1.2,5,129,1,Casual,Referral,14,0
